Keyword,Difficulty,Position,"Previous position","Position Serp Features","Search vol.","Search intent","SERP features",Competition,CPC,URL,Traffic,"Traffic share","Traffic cost"
"clinic plus shampoo",72,4,6,Image,49500,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.91,0.02,https://www.nykaa.com/brands/clinic-plus/c/608,2240,0.05,44.82
"man matters",86,7,5,,165000,C,"Reviews, Sitelinks, Video, People also ask, Top Ads, Shopping results, Related searches",1,0.02,https://www.nykaa.com/brands/man-matters/c/18417,2224,0.05,44.48
"best oily skin moisturizer",77,4,1,,49500,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.01,https://www.nykaa.com/dp/fragrance-free-moisturizers-for-oily-skin,2219,0.05,22.19
"nykaa beauty",91,2,2,,33100,C,"Reviews, Video, Images, Bottom Ads, Shopping results, Related searches, Image",0.96,0.07,https://www.nykaa.com/sp/ultra_lux-app-homepage/desktop,2213,0.05,154.93
"forever 52 foundation",69,3,2,"Reviews, Image",33100,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.04,https://www.nykaa.com/daily-life-forever52-ultra-definition-liquid-foundation/p/401077,2198,0.05,87.93
"face moisturizer for dry skin",73,2,1,,14800,C,"Reviews, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/skin/moisturizers/face-moisturizer-day-cream/c/8394,2197,0.04,43.95
"best sunscreen for women",81,2,3,Image,27100,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/dp/sunscreen-for-women,2188,0.04,43.77
"body mist for women",65,2,2,,14800,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.99,0.01,https://www.nykaa.com/fragrance/women/body-mist-spray/c/970,2175,0.04,21.76
"bleach on face",69,2,2,,27100,I,"Featured snippets, Reviews, Video, People also ask, Related searches, Image",0.93,0.01,https://www.nykaa.com/natural/skin/face-bleach/c/9578,2167,0.04,21.68
"best night cream",63,2,2,Image,14800,C,"Reviews, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/skin/moisturizers/night-cream/c/8395,2145,0.04,42.91
"best facial kit",58,2,4,Image,14800,C,"Reviews, People also ask, Shopping results, Related searches, Image",1,0.01,https://www.nykaa.com/skin/kits-combos/facial-kits/c/8436,2145,0.04,21.45
"nykaa lipstick",84,2,2,,22200,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/makeup/lips/lipstick/c/249,2133,0.04,42.68
"the ordinary serum",66,2,3,Image,14800,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.01,https://www.nykaa.com/luxe/brands/the-ordinary/c/23993,2127,0.04,21.28
"best body lotion",73,1,1,,14800,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.99,0.03,https://www.nykaa.com/bath-body/body-care/body-lotions-moisturizers/c/371,2127,0.04,63.84
"best body moisturizer",73,2,1,,14800,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.99,0.03,https://www.nykaa.com/bath-body/body-care/body-lotions-moisturizers/c/371,2127,0.04,63.84
"lip oil",58,1,1,,27100,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/lip-oils/c/51137,2123,0.04,42.48
"under eye cream",63,2,2,Reviews,27100,C,"Reviews, People also ask, Images, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/skin/eye-care/under-eye-cream-serums/c/8403,2123,0.04,42.47
"cc cream",58,2,1,,27100,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",0.98,0.02,https://www.nykaa.com/makeup/face/bb-cc-cream/c/232,2123,0.04,42.48
"laneige lip balm",72,2,2,"Reviews, Image",27100,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",1,0.03,https://www.nykaa.com/laneige-lip-glowy-balm/p/1202109,2123,0.04,63.72
"body wash",59,4,7,,60500,C,"Reviews, People also ask, Images, Bottom Ads, Shopping results, Related searches, Image",1,0.18,https://www.nykaa.com/bath-body/bath-and-shower/shower-gels-body-wash/c/368,2122,0.04,382.11
"mederma cream",71,6,6,,135000,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",0.98,0.01,https://www.nykaa.com/dp/mederma-cream,2112,0.04,21.13
"the body shop",76,3,4,,74000,"L, T","Local pack, Reviews, Sitelinks, Video, People also ask, Images, Knowledge graph, Top Ads, Shopping results, Related searches, Image",0.77,0.06,https://www.nykaa.com/brands/the-body-shop/c/943,2101,0.04,126.11
"best skin care products",71,2,2,Image,14800,C,"Reviews, Video, People also ask, Bottom Ads, Shopping results, Related searches, Image",1,0.15,https://www.nykaa.com/skin/c/8377,2099,0.04,314.9
eyelash,79,2,4,,49500,"L, C","Local pack, Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",0.93,0.02,https://www.nykaa.com/makeup/eyes/false-eyelashes/c/247,2086,0.04,41.72
"earth rhythm",85,3,4,"Reviews, Image",49500,"I, N","Reviews, Sitelinks, Video, People also ask, See results about, Related searches, Image",0.9,0.03,https://www.nykaa.com/brands/earth-rhythm/c/11484,2086,0.04,62.59
naturals,77,14,17,Image,550000,"L, N","Local pack, Reviews, Sitelinks, Video, Knowledge graph, Related searches, Image",0.01,0.08,https://www.nykaa.com/brands/nykaa-naturals/c/7666,2083,0.04,166.71
fingers,83,5,13,,74000,"I, N","Reviews, Sitelinks, Video, People also ask, Images, Bottom Ads, Related searches",0.02,0.12,https://www.nykaa.com/brands/fingers/c/17890,2081,0.04,249.81
"best under eye cream for dark circles",78,3,4,Image,27100,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.01,https://www.nykaa.com/dp/eye-creams-for-dark-circle,2059,0.04,20.6
"best cream for dark circles",72,3,5,Image,27100,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.01,https://www.nykaa.com/dp/eye-creams-for-dark-circle,2052,0.04,20.53
"nykaa store near me",71,1,1,"Local pack",27100,"L, C","Local pack, Reviews, Video, Related searches",0.12,0.18,https://www.nykaa.com/?ef_id=CjwKCAiAtouOBhA6EiwA2nLKH2pXpwnvrywgMMZ474VdEaWfBi33o5xhLsAhWDagEwlhsUiPrYEFaRoCuT8QAvD_BwE:G:s&s_kwcid=AL!599!3!565145627909!e!!g!!nykaa&utm_source=GooglePaid&utm_medium=Search&utm_campaign=Search_Nykaa_New_Users&gclid=CjwKCAiAtouOBhA6EiwA2nLKH2pXpwnvrywgMMZ474VdEaWfBi33o5xhLsAhWDagEwlhsUiPrYEFaRoCuT8QAvD_BwE,2046,0.04,368.3
"concealer price",68,1,7,Reviews,14800,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.98,0.01,https://www.nykaa.com/makeup/face/face-concealer/c/234,2044,0.04,20.44
"makeup fixer",59,2,2,,14800,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/makeup/face/setting-spray/c/6761,2044,0.04,40.88
"nykaa sale",76,1,2,Image,18100,T,"Reviews, Video, People also ask, Images, Bottom Ads, Shopping results, Related searches, Image",0.93,0.05,https://www.nykaa.com/clearance-sale/c/861,2043,0.04,102.16
"wow skin science",81,3,5,Image,33100,C,"Reviews, Sitelinks, Video, People also ask, Shopping results, X (ex-Twitter), See results about, Related searches, Image",0.92,0.14,https://www.nykaa.com/brands/wow/c/2454,2038,0.04,285.43
"makeup setting spray",62,2,2,,12100,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/makeup/face/setting-spray/c/6761,2012,0.04,40.25
neeman,83,6,51,,110000,C,"Reviews, Sitelinks, Video, People also ask, Top Ads, Shopping results, Related searches",1,0.03,https://www.nykaa.com/brands/neemans/c/16349,2004,0.04,60.13
"hair color for men",67,2,2,,40500,C,"Reviews, Video, People also ask, Bottom Ads, Shopping results, Related searches, Image",0.49,0.01,https://www.nykaa.com/dp/hair-color-for-men,1998,0.04,19.98
"o3 facial kit",67,5,6,,60500,C,"Reviews, Video, People also ask, Top Ads, Bottom Ads, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/brands/o3/facial-kit/c/11181,1984,0.04,39.69
mamaearth,79,29,40,Image,673000,C,"Reviews, Sitelinks, Video, People also ask, Images, Top Ads, Shopping results, Related searches, Image",0.94,0.26,https://www.nykaa.com/brands/mamaearth/c/4320?adId=5e70fbd4d6e4a90026531738&rtqu=Mamaearth&sourcepage=home&root=search%2Cbrand_menu%2Cbrand_list%2CMamaearth&categoryId=4320&affiliateId=Ankitash-2176&sort=new_arrival&page_no=8,1982,0.04,515.57
renee,83,3,3,Image,27100,"I, N","Reviews, Sitelinks, Video, People also ask, Top Ads, Related searches, Image, Sites",0.37,0.04,https://www.nykaa.com/brands/renee-by-aashka-goradia/c/7366,1980,0.04,79.2
"re equil",79,3,2,Image,27100,"I, N","Reviews, Sitelinks, Video, People also ask, Top Ads, Related searches, Image",1,0.19,https://www.nykaa.com/brands/re-equil/c/10101,1980,0.04,376.21
"best serum for face",74,2,2,,22200,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/skin/moisturizers/serums-essence/c/8397,1978,0.04,39.58
"nose strips",67,4,2,,60500,C,"Reviews, Video, People also ask, Images, Bottom Ads, Shopping results, Related searches, Image",0.98,0.01,https://www.nykaa.com/skin/specialised-skincare/nose-strips/c/25756,1971,0.04,19.72
"da milano",74,2,,Image,40500,C,"Reviews, Sitelinks, People also ask, Top Ads, Shopping results, Related searches, Image",0.94,0.06,https://www.nykaa.com/brands/da-milano/c/9343,1965,0.04,117.93
maybelline,81,3,4,,49500,"L, C","Reviews, Sitelinks, Video, People also ask, Top Ads, Shopping results, X (ex-Twitter), GMB, Related searches, Image",0.92,0.09,https://www.nykaa.com/brands/maybelline-new-york/c/596,1940,0.04,174.64
makeup,68,7,6,"Reviews, Image",165000,C,"Reviews, Video, Images, Shopping results, Related searches, Image",0.5,0.13,https://www.nykaa.com/makeup/c/12,1939,0.04,252.11
"hair colour for women",73,5,5,,90500,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.78,0.2,https://www.nykaa.com/dp/hair-color-for-women,1939,0.04,387.81
"cetaphil moisturizing",64,8,6,"Reviews, Image",165000,C,"Reviews, People also ask, Shopping results, Related searches, Image",1,0.03,https://www.nykaa.com/cetaphil-moisturising-cream/p/392484,1933,0.04,58.02
"moisturizing face",78,1,2,,22200,C,"Reviews, Video, People also ask, Images, Shopping results, Image",1,0.02,https://www.nykaa.com/skin/moisturizers/face-moisturizer-day-cream/c/8394,1928,0.04,38.56
"bombay shaving company",86,5,7,Image,74000,C,"Reviews, Sitelinks, Video, People also ask, Knowledge graph, Top Ads, Shopping results, Related searches, Image",0.85,0.03,https://www.nykaa.com/brands/bombay-shaving-company/c/3869,1922,0.04,57.67
johnson's,81,3,4,Image,40500,"L, C","Local pack, Reviews, Video, People also ask, Knowledge graph, Related searches, Image",0.03,0.09,https://www.nykaa.com/brands/johnson-johnson/c/824,1909,0.04,171.89
"cerave cleanser",75,2,2,"Reviews, Image",49500,C,"Reviews, Sitelinks, Video, People also ask, Images, Top Ads, Shopping results, See results about, Related searches, Image",1,0.02,https://www.nykaa.com/cerave-hydrating-facial-cleanser-non-foaming-face-wash-with-hyaluronic-acid-ceramides-glycerin/p/13169473,1899,0.04,37.99
lipgloss,64,1,2,,12100,C,"Reviews, Video, People also ask, Knowledge graph, Shopping results, Related searches, Image",0.99,0.02,https://www.nykaa.com/makeup/lips/lip-gloss/c/250,1897,0.04,37.95
"dot and key sunscreen",69,5,4,"Reviews, Image",90500,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",1,0.03,https://www.nykaa.com/dot-key-vitamin-c-e-face-sunscreen-with-spf-50-pa/p/13199519,1895,0.04,56.87
cosmetic,76,4,4,,60500,C,"Featured snippets, Video, People also ask, Knowledge graph, Shopping results, Related searches, Image",0.12,0.12,https://www.nykaa.com/,1893,0.04,227.2
"hand cream",67,2,2,,14800,C,"Reviews, People also ask, Images, Shopping results, See results about, Related searches, Image",1,0.02,https://www.nykaa.com/skin/hands-feet/hand-creams/c/8432,1877,0.04,37.54
"face wash good",68,3,3,Reviews,40500,C,"Reviews, Video, People also ask, Images, Shopping results, Image",0.99,0.05,https://www.nykaa.com/skin/cleansers/face-wash/c/8379,1874,0.04,93.74
"hair colour for men",67,3,3,,40500,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",0.49,0.01,https://www.nykaa.com/dp/hair-color-for-men,1873,0.04,18.74
ponds,72,5,8,,110000,C,"Reviews, Sitelinks, Video, People also ask, Images, Top Ads, Shopping results, Related searches, Image",0.34,0.2,https://www.nykaa.com/brands/ponds/c/614,1863,0.04,372.71
"nykaa customer care number",73,2,2,,18100,I,"Reviews, People also ask, Knowledge graph, Knowledge card, Related searches",0,0.19,https://support.nykaa.com/,1848,0.04,351.29
"nykaa luxe",77,2,2,,18100,"L, N","Local pack, Reviews, Sitelinks, Video, People also ask, Related searches, Image",0.35,0.11,https://www.nykaa.com/luxe-focus,1847,0.04,203.23
"best toner for face",70,2,2,,12100,C,"Reviews, People also ask, Shopping results, Related searches, Image",1,0.01,https://www.nykaa.com/skin/toners-mists/c/8391,1843,0.04,18.44
"remove tanning",71,3,2,,33100,I,"Featured snippets, Reviews, Video, People also ask, Related searches",0.95,0.02,https://www.nykaa.com/beauty-blog/how-to-remove-tan-using-simple-home-remedies/,1842,0.04,36.86
"matrix shampoo",65,5,10,,60500,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/brands/matrix/c/1693,1833,0.04,36.67
"la shield sunscreen",75,4,3,Image,40500,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.03,https://www.nykaa.com/brands/la-shield/c/8835,1833,0.04,55
"face pack",61,2,4,Image,40500,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",0.96,0.02,https://www.nykaa.com/skin/masks/face-packs/c/25751,1821,0.04,36.42
"the ordinary",73,2,2,Image,40500,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",0.97,0.02,https://www.nykaa.com/luxe/brands/the-ordinary/c/23993,1821,0.04,36.42
"face packs",70,2,2,,40500,C,"Reviews, Video, People also ask, Images, Shopping results, Videos Block, Image",0.96,0.02,https://www.nykaa.com/skin/masks/face-packs/c/25751,1821,0.04,36.42
"watch for girls",72,11,15,,450000,C,"Reviews, Video, Images, Shopping results, Related searches",0,0,https://www.nykaa.com/jewellery-accessories/watches/women-s-watches/c/11397,1821,0.04,0
prive,59,1,2,,4400,I,"Reviews, Video, Related searches, Image",0.02,0,https://www.nykaa.com/prive,1817,0.04,0
"chemist at play",66,2,2,Image,33100,C,"Reviews, Sitelinks, Video, People also ask, Top Ads, Shopping results, Related searches, Image",0.96,0.06,https://www.nykaa.com/brands/chemist-at-play/c/21551,1815,0.04,108.93
"eye lenses",63,5,8,,60500,C,"Reviews, People also ask, Shopping results, See results about, Related searches, Image",0.93,0.05,https://www.nykaa.com/makeup/eyes/contact-lenses/c/2440,1808,0.04,90.44
"best facewash for oily skin",66,4,1,,40500,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.03,https://www.nykaa.com/skin-type-collection/best-face-wash-for-oily-skin-online-sale/c/6191,1805,0.04,54.15
"wella shampoo",73,3,2,,27100,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.03,https://www.nykaa.com/brands/wella-professionals/shampoos/c/3526,1799,0.04,53.99
"wella professional shampoo",76,3,3,,27100,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.03,https://www.nykaa.com/brands/wella-professionals/shampoos/c/3526,1799,0.04,53.99
"kama ayurveda",68,3,7,Image,49500,"L, C","Local pack, Reviews, Sitelinks, Video, People also ask, Knowledge graph, Top Ads, Shopping results, Related searches, Image",0.76,0.12,https://www.nykaa.com/luxe/brands/kama-ayurveda/c/2421,1798,0.04,215.87
"face cream for dry skin",77,1,1,,12100,C,"Reviews, People also ask, Shopping results, Related searches, Image",0.99,0.02,https://www.nykaa.com/skin/moisturizers/face-moisturizer-day-cream/c/8394,1796,0.04,35.93
"hairstyles curly",82,5,10,,60500,I,"Reviews, Video, People also ask, Related searches, Image",0,0,https://www.nykaa.com/beauty-blog/inspo-on-curls-best-haircuts-for-curly-hair/,1794,0.04,0
"best body wash for women",76,2,1,Image,14800,C,"Reviews, Video, People also ask, Bottom Ads, Shopping results, Related searches, Image",1,0.1,https://www.nykaa.com/bath-body/bath-and-shower/shower-gels-body-wash/c/368,1794,0.04,179.49
"whisper pad",71,6,6,,110000,C,"Reviews, Video, Images, Shopping results, Related searches, Image",0.99,0.01,https://www.nykaa.com/brands/whisper/c/1186,1794,0.04,17.95
"the ordinary glycolic acid",75,2,2,"Reviews, Image",14800,C,"Reviews, Video, People also ask, Knowledge graph, Shopping results, Related searches, Image",0.98,0.02,https://www.nykaa.com/the-ordinary-glycolic-acid-7percent-exfoliating-solution/p/13025179,1794,0.04,35.88
"face cleanser",63,2,1,Reviews,18100,C,"Reviews, Video, People also ask, Images, Bottom Ads, Shopping results, Related searches, Image",0.99,0.04,https://www.nykaa.com/skin/cleansers/cleanser/c/8380,1791,0.04,71.65
"the moms co",92,5,4,Image,74000,"L, C","Reviews, Sitelinks, Video, People also ask, Shopping results, GMB, Related searches, Image",0.98,0.05,https://www.nykaa.com/brands/the-moms-co/c/4748,1791,0.04,89.6
scrunchies,76,6,9,,90500,C,"Reviews, Video, People also ask, Bottom Ads, Shopping results, See results about, Related searches, Image",0.95,0.02,https://www.nykaa.com/accessories/hair-accessories/hair-ties-scrunchies/c/20623,1771,0.04,35.43
"ponds bb cream",74,4,5,"Reviews, Image",40500,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.99,0.02,https://www.nykaa.com/ponds-bb-cream-instant-spot-coverage-light-make-up-glow-ivory/p/1498459,1758,0.04,35.16
"nykaa app",79,1,3,,6600,I,"Reviews, Video, People also ask, Images, Related searches",0.42,0.09,https://www.nykaa.com/app-offers/c/2706,1753,0.04,157.84
"face masks",77,7,7,Image,110000,C,"People also ask, Shopping results, See results about, Videos Block, Related searches, Image",0.95,0.02,https://www.nykaa.com/skin/masks/sheet-masks/c/8401,1752,0.04,35.05
"hair color for women",71,5,5,,90500,C,"Reviews, People also ask, Shopping results, Related searches, Image",0.78,0.2,https://www.nykaa.com/dp/hair-color-for-women,1751,0.04,350.24
"whisper pads",66,6,6,,110000,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",0.99,0.01,https://www.nykaa.com/brands/whisper/c/1186,1746,0.04,17.47
"face cleansing",64,1,2,Reviews,5400,I,"Reviews, Video, People also ask, Images, Related searches, Image",0.5,0.16,https://www.nykaa.com/skin/cleansers/cleanser/c/8380,1745,0.04,279.21
"joker and witch",90,5,6,,110000,C,"Reviews, Sitelinks, Video, People also ask, Top Ads, Shopping results, See results about, Related searches, Image",0.99,0.01,https://www.nykaa.com/brands/joker-witch/c/4432,1745,0.04,17.46
"hair curler",75,2,3,,22200,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/hair-care/tools-and-accessories/rollers-curlers/c/363,1739,0.04,34.8
"underarm roll on",56,2,2,,12100,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/bath-body/female-grooming/roll-ons/c/51421,1739,0.04,34.79
"girls watches",67,14,16,,450000,C,"Reviews, Video, Shopping results, Related searches, Image",0,0,https://www.nykaa.com/jewellery-accessories/watches/women-s-watches/c/11397,1734,0.04,0
pac,71,3,2,,33100,"I, N","Reviews, Sitelinks, Video, People also ask, Related searches, Image",0.04,0.16,https://www.nykaa.com/brands/pac/c/3990,1731,0.04,277.1
"garnier face wash",69,6,6,,110000,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",1,0.04,https://www.nykaa.com/dp/garnier-face-wash,1721,0.04,68.85
"mens perfume best",63,6,6,,74000,C,"Reviews, Video, People also ask, Bottom Ads, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/fragrance/men/perfumes-edt-edp/c/974,1721,0.04,34.43
"strobe cream",67,5,8,,60500,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/best-of-strobe-cream/c/54479,1720,0.04,34.4
"best lipstick brand",78,2,,"Featured snippets",22200,C,"Featured snippets, Reviews, Video, People also ask, Shopping results, Related searches, Image",0.99,0.02,https://www.nykaa.com/makeup/lips/lipstick/c/249,1716,0.04,34.34
"best vitamin c serum",67,3,4,Image,27100,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.01,https://www.nykaa.com/vitamin-c-face-serums/c/26274,1712,0.04,17.12
lakme,74,5,4,,110000,"I, N","Reviews, Sitelinks, Video, People also ask, Images, Bottom Ads, See results about, Related searches, Image",0.7,0.06,https://www.nykaa.com/brands/lakme/c/604,1708,0.03,102.52
"hair mask for dry hair",71,2,5,,12100,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/hair-care/hair/hair-creams-masks/c/2041,1707,0.03,34.16
"facial moisturizer",67,2,2,,22200,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/skin/moisturizers/face-moisturizer-day-cream/c/8394,1701,0.03,34.02
"face powder",58,2,7,,22200,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.97,0.02,https://www.nykaa.com/makeup/face/compact/c/231,1701,0.03,34.02
"wellness products",42,1,1,"Reviews, Image",5400,I,"Reviews, People also ask, Images, Top Ads, Related searches, Image",0.78,0.18,https://www.nykaa.com/wellness/c/671,1694,0.03,304.98
"face tanning",56,1,,"Featured snippets",8100,I,"Featured snippets, Reviews, Video, People also ask, Related searches",0.1,0.02,https://www.nykaa.com/beauty-blog/how-to-remove-tan-using-simple-home-remedies/,1683,0.03,33.67
"face pack for glowing skin",78,2,2,Image,22200,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.98,0.01,https://www.nykaa.com/skin/masks/face-packs/c/25751,1681,0.03,16.81
"nude shade",46,1,1,,4400,I,"Reviews, Video, Related searches, Image",0.02,0,https://www.nykaa.com/editor-s-choice/best-nude-lipsticks-online-sale/c/6900,1681,0.03,0
"coupon codes nykaa",65,3,2,,22200,I,"Reviews, Video, People also ask, Related searches",0.3,0.02,https://www.nykaa.com/coupons-offers,1679,0.03,33.59
"ponds moisturizer",77,6,7,"Reviews, Image",74000,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.99,0.01,https://www.nykaa.com/ponds-super-light-gel-moisturiser/p/502719,1668,0.03,16.69
"best shampoo for dandruff",76,3,3,Image,22200,C,"Reviews, People also ask, Shopping results, Related searches, Image",1,0.05,https://www.nykaa.com/hair-care/shop-by-concern/dandruff/c/1222,1668,0.03,83.42
"blackhead removal tools",77,2,,"Featured snippets",12100,C,"Featured snippets, Reviews, People also ask, Images, Shopping results, Image",1,0.01,https://www.nykaa.com/skin/skin-tools/blackhead-remover/c/25761,1664,0.03,16.65
"forest essentials",79,5,5,Image,110000,"L, C","Local pack, Reviews, Sitelinks, Video, People also ask, Knowledge graph, Top Ads, Bottom Ads, Shopping results, Related searches, Image",0.98,0.13,https://www.nykaa.com/luxe/brands/forest-essentials/c/2682,1657,0.03,215.49
kis,77,28,,Reviews,550000,I,"Reviews, Video, Images, Related searches",0,0.02,https://www.nykaa.com/brands/kis/c/24207,1656,0.03,33.12
"brown hair colour",61,2,1,,22200,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.74,0.02,https://www.nykaa.com/editor-s-choice/best-brown-hair-colors-online-sale/c/9798,1653,0.03,33.07
"moisturizer for face",72,3,2,,22200,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/skin/moisturizers/face-moisturizer-day-cream/c/8394,1653,0.03,33.07
"men's perfume best",64,7,6,Image,135000,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/fragrance/men/perfumes-edt-edp/c/974,1652,0.03,33.05
colorbar,80,2,3,Reviews,22200,"L, N","Local pack, Reviews, Sitelinks, Video, People also ask, See results about, Related searches",0.85,0.02,https://www.nykaa.com/brands/colorbar/c/642,1651,0.03,33.02
"toner for face",67,3,2,,22200,C,"Reviews, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/skin/toners-mists/c/8391,1650,0.03,33.01
"body sunscreen",55,2,2,,9900,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/skin/sun-care/body-sunscreen/c/8430,1646,0.03,32.93
"cosmetic store",65,2,5,,18100,"L, C","Local pack, Reviews, Video, People also ask, Images, Knowledge graph, Related searches, Image",0.02,0.14,https://www.nykaa.com/,1646,0.03,230.54
"best hairstyles for curly hair",65,1,1,,5400,I,"Video, People also ask, Related searches, Image",0,0.04,https://www.nykaa.com/beauty-blog/inspo-on-curls-best-haircuts-for-curly-hair/,1645,0.03,65.8
"hair colour",61,7,9,,110000,I,"Reviews, People also ask, Related searches, Image",0.83,0.14,https://www.nykaa.com/hair-care/hair-styling/hair-color/c/2043,1636,0.03,229.16
"nykaa man",89,2,4,,33100,C,"Reviews, Sitelinks, Video, People also ask, Images, Knowledge graph, Top Ads, Shopping results, Related searches",0.9,0.09,https://www.nykaa.com/mens/c/77,1634,0.03,147.09
"best perfumes",60,3,5,Image,18100,C,"Video, People also ask, Shopping results, Related searches, Image",0.96,0.01,https://www.nykaa.com/fragrance/women/perfumes-edt-edp/c/962,1625,0.03,16.26
"makeup products",71,2,6,Image,33100,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",0.91,0.03,https://www.nykaa.com/,1616,0.03,48.49
"lip and cheek tint",52,2,2,,18100,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/makeup/lips/lip-stain/c/253,1613,0.03,32.27
"mederma cream",71,7,5,Image,135000,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",0.98,0.01,https://www.nykaa.com/brands/mederma/c/10393,1608,0.03,16.09
"love beauty and planet",68,3,4,Image,33100,C,"Reviews, Sitelinks, Video, People also ask, Knowledge graph, Shopping results, Related searches, Image",0.96,0.03,https://www.nykaa.com/brands/love-beauty-planet/c/11496,1604,0.03,48.15
"cosmetic items",60,1,1,Image,5400,"L, C","Local pack, Reviews, Video, People also ask, Related searches, Image",0.1,0.01,https://www.nykaa.com/,1593,0.03,15.94
"fit me foundation",72,4,4,"Reviews, Image",49500,C,"Reviews, Video, Images, Knowledge graph, Shopping results, Related searches, Image",1,0.11,https://www.nykaa.com/maybelline-new-york-fit-me-matte-poreless-foundation/p/31074,1589,0.03,174.8
"wishcare hair growth serum",74,4,4,"Reviews, Image",40500,C,"Reviews, Video, People also ask, Knowledge graph, Top Ads, Shopping results, Related searches, Image",1,0.05,https://www.nykaa.com/wishcare-hair-growth-serum-concentrate-redensyl-anagain-caffeine-biotin-keratin-rice-water/p/7106603,1589,0.03,79.48
"souled store",76,19,24,,450000,C,"Reviews, Sitelinks, Video, People also ask, Images, Knowledge graph, Top Ads, Shopping results, Related searches, Image",0.87,0.03,https://www.nykaa.com/brands/the-souled-store/c/23700,1588,0.03,47.65
"nude lipstick",60,6,5,Reviews,74000,I,"Reviews, Video, Images, Related searches, Image",0.97,0.01,https://www.nykaa.com/editor-s-choice/best-nude-lipsticks-online-sale/c/6900,1587,0.03,15.87
